Instance,Time(s),Upper Bound,Status
N1C1W1_A.BPP,0.0763769,25,Optimal
N1C1W1_B.BPP,0.0391824,31,Optimal
N1C1W1_C.BPP,0.108905,20,Optimal
N1C1W1_D.BPP,0.0687428,28,Optimal
N1C1W1_E.BPP,0.0386756,26,Optimal
N1C1W1_F.BPP,0.0281343,27,Optimal
N1C1W1_G.BPP,0.0636107,25,Optimal
N1C1W1_H.BPP,0.0387728,31,Optimal
N1C1W1_I.BPP,0.0779236,25,Optimal
N1C1W1_J.BPP,0.066902,26,Optimal
N1C1W1_K.BPP,0.0714098,26,Optimal
N1C1W1_L.BPP,0.0214206,33,Optimal
N1C1W1_M.BPP,0.0356933,30,Optimal
N1C1W1_N.BPP,0.069765,25,Optimal
N1C1W1_O.BPP,0.0153122,32,Optimal
N1C1W1_P.BPP,0.0332503,26,Optimal
N1C1W1_Q.BPP,0.0290697,28,Optimal
N1C1W1_R.BPP,0.0714214,25,Optimal
N1C1W1_S.BPP,0.056432,28,Optimal
N1C1W1_T.BPP,0.0285345,28,Optimal
N1C1W2_A.BPP,0.0471826,29,Optimal
N1C1W2_B.BPP,0.0299129,30,Optimal
N1C1W2_C.BPP,0.0283639,33,Optimal
N1C1W2_D.BPP,0.0166753,31,Optimal
N1C1W2_E.BPP,0.027406,36,Optimal
N1C1W2_F.BPP,0.0439063,30,Optimal
N1C1W2_G.BPP,0.0298029,30,Optimal
N1C1W2_H.BPP,0.0153238,33,Optimal
N1C1W2_I.BPP,0.0187983,35,Optimal
N1C1W2_J.BPP,0.0314362,34,Optimal
N1C1W2_K.BPP,0.0148759,35,Optimal
N1C1W2_L.BPP,0.0165914,31,Optimal
N1C1W2_M.BPP,0.0203453,30,Optimal
N1C1W2_N.BPP,0.0199627,33,Optimal
N1C1W2_O.BPP,0.0541716,29,Optimal
N1C1W2_P.BPP,0.0337702,33,Optimal
N1C1W2_Q.BPP,0.00978912,36,Optimal
N1C1W2_R.BPP,0.0160754,34,Optimal
N1C1W2_S.BPP,0.00974106,37,Optimal
N1C1W2_T.BPP,0.0150206,38,Optimal
N1C1W4_A.BPP,0.0252182,35,Optimal
N1C1W4_B.BPP,0.0123236,40,Optimal
N1C1W4_C.BPP,0.0238985,36,Optimal
N1C1W4_D.BPP,0.0170717,38,Optimal
N1C1W4_E.BPP,0.00696534,38,Optimal
N1C1W4_F.BPP,0.0121083,32,Optimal
N1C1W4_G.BPP,0.0138409,37,Optimal
N1C1W4_H.BPP,0.00744156,40,Optimal
N1C1W4_I.BPP,0.0152724,35,Optimal
N1C1W4_J.BPP,0.00972776,37,Optimal
N1C1W4_K.BPP,0.00894953,41,Optimal
N1C1W4_L.BPP,0.0100568,35,Optimal
N1C1W4_M.BPP,0.00830571,41,Optimal
N1C1W4_N.BPP,0.0123427,39,Optimal
N1C1W4_O.BPP,0.0167983,34,Optimal
N1C1W4_P.BPP,0.019171,38,Optimal
N1C1W4_Q.BPP,0.024643,34,Optimal
N1C1W4_R.BPP,0.019347,38,Optimal
N1C1W4_S.BPP,0.0240248,36,Optimal
N1C1W4_T.BPP,0.00554437,42,Optimal
N1C2W1_A.BPP,0.102321,21,Optimal
N1C2W1_B.BPP,0.062252,26,Optimal
N1C2W1_C.BPP,0.0752324,23,Optimal
N1C2W1_D.BPP,0.0674354,21,Optimal
N1C2W1_E.BPP,0.169361,17,Optimal
N1C2W1_F.BPP,0.0969272,22,Optimal
N1C2W1_G.BPP,0.103628,21,Optimal
N1C2W1_H.BPP,0.0681682,23,Optimal
N1C2W1_I.BPP,0.0312868,27,Optimal
N1C2W1_J.BPP,0.0406911,27,Optimal
N1C2W1_K.BPP,0.0653753,24,Optimal
N1C2W1_L.BPP,0.0386066,25,Optimal
N1C2W1_M.BPP,0.039769,26,Optimal
N1C2W1_N.BPP,0.120368,21,Optimal
N1C2W1_O.BPP,0.274595,15,Optimal
N1C2W1_P.BPP,0.0784878,21,Optimal
N1C2W1_Q.BPP,0.0893411,24,Optimal
N1C2W1_R.BPP,0.0514622,23,Optimal
N1C2W1_S.BPP,0.110381,22,Optimal
N1C2W1_T.BPP,0.0378846,22,Optimal
N1C2W2_A.BPP,0.0569873,24,Optimal
N1C2W2_B.BPP,0.0392474,27,Optimal
N1C2W2_C.BPP,0.0148861,29,Optimal
N1C2W2_D.BPP,0.0482785,24,Optimal
N1C2W2_E.BPP,0.0184035,33,Optimal
N1C2W2_F.BPP,0.0502215,26,Optimal
N1C2W2_G.BPP,0.0287103,29,Optimal
N1C2W2_H.BPP,0.0339121,23,Optimal
N1C2W2_I.BPP,0.0276366,25,Optimal
N1C2W2_J.BPP,0.0339904,25,Optimal
N1C2W2_K.BPP,0.0225772,29,Optimal
N1C2W2_L.BPP,0.0217383,30,Optimal
N1C2W2_M.BPP,0.0198293,30,Optimal
N1C2W2_N.BPP,0.0415226,26,Optimal
N1C2W2_O.BPP,0.0205206,29,Optimal
N1C2W2_P.BPP,0.0726439,23,Optimal
N1C2W2_Q.BPP,0.0257079,30,Optimal
N1C2W2_R.BPP,0.0524949,25,Optimal
N1C2W2_S.BPP,0.0938991,24,Optimal
N1C2W2_T.BPP,0.0524601,26,Optimal
N1C2W4_A.BPP,0.0193307,29,Optimal
N1C2W4_B.BPP,0.0205993,32,Optimal
N1C2W4_C.BPP,0.02535,30,Optimal
N1C2W4_D.BPP,0.0479471,28,Optimal
N1C2W4_E.BPP,0.0145274,30,Optimal
N1C2W4_F.BPP,0.0173042,32,Optimal
N1C2W4_G.BPP,0.040111,30,Optimal
N1C2W4_H.BPP,0.013708,30,Optimal
N1C2W4_I.BPP,0.0152347,35,Optimal
N1C2W4_J.BPP,0.0207258,30,Optimal
N1C2W4_K.BPP,0.0164635,32,Optimal
N1C2W4_L.BPP,0.0377395,31,Optimal
N1C2W4_M.BPP,0.0221468,31,Optimal
N1C2W4_N.BPP,0.02845,32,Optimal
N1C2W4_O.BPP,0.0252659,30,Optimal
N1C2W4_P.BPP,0.0281021,28,Optimal
N1C2W4_Q.BPP,0.0145368,33,Optimal
N1C2W4_R.BPP,0.0163686,35,Optimal
N1C2W4_S.BPP,0.0120798,38,Optimal
N1C2W4_T.BPP,0.0407192,29,Optimal
N1C3W1_A.BPP,0.216471,16,Optimal
N1C3W1_B.BPP,0.767724,16,Optimal
N1C3W1_C.BPP,0.138423,17,Optimal
