Instance,Time(s),Cost
att48.tsp,0.0813957,209320
bayg29.tsp,0.0123976,22230
bays29.tsp,0.0128893,26862
berlin52.tsp,0.118062,143721
bier127.tsp,3.04198,4.545e+06
brazil58.tsp,0.17386,512361
brg180.tsp,6.40462,174750
burma14.tsp,0.000946592,20315
ch130.tsp,3.31964,349898
ch150.tsp,5.33127,444424
d198.tsp,14.165,1.18607e+06
dantzig42.tsp,0.0533428,12528
eil101.tsp,1.99825,27513
eil51.tsp,0.122172,10184.3
eil76.tsp,0.487278,17976
fri26.tsp,0.00743189,10703
gr120.tsp,3.28262,363454
gr137.tsp,3.34175,4.0615e+06
gr17.tsp,0.0014955,12994
gr21.tsp,0.00325907,24345
gr24.tsp,0.00562684,13795
gr48.tsp,0.092192,102378
gr96.tsp,1.09228,2.09717e+06
hk48.tsp,0.0853451,247926
kroA100.tsp,1.40525,983128
kroA150.tsp,6.59327,1.82577e+06
kroA200.tsp,16.3459,2.67244e+06
kroB100.tsp,1.42718,986008
kroB150.tsp,6.06634,1.78655e+06
kroB200.tsp,15.9814,2.67558e+06
kroC100.tsp,1.28734,961324
kroD100.tsp,1.32592,976965
kroE100.tsp,1.40744,971266
lin105.tsp,1.30217,603910
pr107.tsp,1.56774,2.02663e+06
pr124.tsp,2.06313,3.15435e+06
pr136.tsp,6.10968,6.19999e+06
pr144.tsp,3.49963,3.84614e+06
pr152.tsp,4.37113,5.06457e+06
pr76.tsp,0.434907,3.45524e+06
rat195.tsp,16.637,218745
rat99.tsp,1.98626,57986
rd100.tsp,1.37305,340047
si175.tsp,7.79006,1.80853e+06
st70.tsp,0.33479,20557
swiss42.tsp,0.0500614,22327
u159.tsp,5.56164,2.97203e+06
ulysses16.tsp,0.00185364,40392
ulysses22.tsp,0.00431977,52064
