Instance,Time DFS(s),Cost DFS,Time BFS(s),Cost BFS,Time BBS(s),Cost BBS
att48.tsp,0.269483,10628,0.141046,10628,0.145923,10628
bayg29.tsp,0.0210821,1610,0.0342857,1610,0.0209204,1610
bays29.tsp,0.0829209,2020,0.0919105,2020,0.0946336,2020
berlin52.tsp,0.0198432,7542,0.0198775,7542,0.019877,7542
brazil58.tsp,0.36206,25395,0.390279,25395,0.440273,25395
burma14.tsp,0.000573385,3323,0.00056565,3323,0.000553558,3323
dantzig42.tsp,0.0882305,699,0.0588305,699,0.0892838,699
eil51.tsp,35.6127,426,47.1348,426,19.1177,426
eil76.tsp,127.656,538,45.9343,538,33.1719,538
fri26.tsp,0.00915811,937,0.00840408,937,0.00843158,937
gr17.tsp,0.000852919,2085,0.000864641,2085,0.000957235,2085
gr21.tsp,0.0015136,2707,0.00153773,2707,0.00168331,2707
gr24.tsp,0.0282609,1272,0.0676855,1272,0.0368449,1272
gr48.tsp,35.6722,5046,79.7134,5046,95.078,5046
gr96.tsp,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
hk48.tsp,0.0843602,11461,0.0968525,11461,0.0855555,11461
pr76.tsp,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
rat99.tsp,51.3208,1211,136.416,1211,35.0816,1211
st70.tsp,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,20.1343,675
swiss42.tsp,0.107873,1273,0.179573,1273,0.165363,1273
ulysses16.tsp,0.00122937,6859,0.0012356,6859,0.00135259,6859
ulysses22.tsp,0.00288878,7013,0.00302769,7013,0.00295328,7013
